#Partida,b,c,Descripción,Pto definitivo,Dchos rec. netos
2 412.03 2024 (587),,,IVAP. SUBV.FORMACION PERSONAL,10000.0,8358.32
2 412.04 2024 (1065),,,SUBVENCION RED FERROVIARIA ,0.0,186506.14
2 420.01 2024 (46),,,FONDO FORAL DE FINANCIACION ,24066806.0,24066805.84
2 420.02 2024 (75),,,D.F. ASISTENCIA A DOMICILIO,134441.92,294486.99
2 420.03 2024 (193),,,DIPUTACION.DEPARTAMENTO DE ,9000.0,0.0
2 420.04 2024 (194),,,D.F. PLAN GRAL.PROMOC. USO ,3407.59,8963.0
2 420.05 2024 (321),,,D.F. SUBV. ACTIVIDADES IGUALDAD,27421.0,13710.5
2 420.07 2024 (218),,,D.F. SUBVENCION MUSEO,4000.0,0.0
2 420.09 2024 (393),,,"D.F. TEATRO, MUSICA",15053.0,9575.5
2 420.10 2024 (940),,,"D.F.SOSTENIB,  MEJORA ",0.0,98541.3
2 420.12 2024 (928),,,D.F.SUBV.ENRIQUECIMIENTO ,10329.0,0.0
2 420.14 2024 (522),,,DIPUTACION. RESTAURACION ,0.0,4272.51
2 420.15 2024 (988),,,D.F.SUBVENCION MUGI,8910.0,76310.0
2 420.18 2024 (1064),,,D.F SUBV.ESPECT. ESCEN/MUSICALES ,0.0,4594.67
2 420.19 2024 (1030),,,"D,F.SUBV.VIVIENDA TUTELADA ",0.0,15870.0
2 420.22 2024 (1057),,,D.F.PLAN GENERAL DE MOVILIDAD ,0.0,0.0
2 420.23 2024 (943),,,D.F.SUBV.GESTION RESIDUOS ,6084.98,11849.22
2 420.25 2024 (1056),,,D.F.SUBVENCION ACTIVIDADES ,0.0,0.0
2 420.27 2024 (579),,,DIPUT.SUBV.FOMENTO PYTOS.PARTIC.,3105.48,0.0
2 420.28 2024 (771),,,DIPT. SUBV.DESARR.AGENDAS 21 ,0.0,0.0
2 420.30 2024 (634),,,D.F. SUBV. PARA JORNADAS DE ,35000.0,40000.0
2 420.31 2024 (695),,,DIPUT. SUBV.MEMORIA HISTORICA ,0.0,1120.0
2 420.32 2024 (696),,,DIPUT.PYTOS.CONVIVENCIA EN LA ,4243.56,9074.0
2 420.33 2024 (698),,,DIPUT.SUBV.AHORRO Y EFIC.,0.0,43265.6
2 420.36 2024 (862),,,DIPUT.SUB.OBJ. USADOS MOVILIDAD ,0.0,8409.38
2 420.39 2024 (1058),,,D.F.SUBV.INVERSION PISO EXCLUSION,15870.0,0.0
2 420.40 2024 (1063),,,D.F PATROCINIO LUCES DE NAVIDAD,0.0,0.0
2 420.99 2024 (1018),,,D.F.SUBVENCIONES DEPORTES,2513.48,59184.0
2 422.02 2024 (970),,,DE OTROS MUNICIPIOS DE GIPUZKOA,100000.0,109292.13
2 471.01 2024 (51),,,DE OTRAS EMPRESAS. JORNADAS DE ,0.0,0.0
2 471.02 2024 (986),,,OTRAS EMPRESAS .PROGRAMA S.JUAN,3081.0,2550.0
2 490.03 2024 (1025),,,SUB.TRANSFORMACION DIGITAL Y ,0.0,0.0
2 540.01 2024 (52),,,PRODUCTO ARRENDAMIENTO FINCAS ,115046.82,128764.91
2 549.01 2024 (500),,,GARAJES POLIDEPORTIVO,36013.18,-217.53
2 550.01 2024 (971),,,CANONES DE ERREBAL,1000.0,0.0
2 560.01 2024 (53),,,INTERESES DE DEPOSITOS,27471.94,294947.1
2 600.01 2024 (935),,,ENEJANACION DE TERRENOS SOLARES,1978.62,0.0
2 612.02 2024 (803),,,ENAJENAC. DE OTROS EDIFICIOS Y ,708213.66,0.0
2 614.01 2024 (735),,,ENAJENACION ELEMENTOS ,0.0,0.0
2 651.01 2024 (249),,,APROVECHAMIENTOS URBANISTICOS,33865.11,0.0
2 700.02 2024 (989),,,SUBV.EMERGENICA PROTECCION CIVIL,89483.41,15376.04
2 700.05 2024 (1061),,,G.V.SUBVENCION ESTUDIOS ,0.0,2809.92
2 710.02 2024 (198),,,G.V. SUBV.OBRAS CENTROS ,31237.26,192971.97
2 710.03 2024 (936),,,"G,VASCO ACCESIBILIDAD",0.0,718861.7
2 710.04 2024 (699),,,GOBIERNO VASCO. HIRIGUNE,169930.69,939.5
2 710.06 2024 (812),,,G.V. SUBV. REHABIL.EDIFIC. Bª ,0.0,0.0
2 710.08 2024 (565),,,G.V. SUBV. VARIAS INVERSIONES,500000.0,0.0
2 710.09 2024 (1028),,,NEXT GENERETION.G.V. REHABILIT.,0.0,494037.53
2 710.12 2024 (1029),,,NEXT GENERETION G.V.,0.0,0.0
2 710.13 2024 (470),,,G.V.SUBV.IMPL.NUEV.TECNOLOG.,4077.03,13854.0
2 710.16 2024 (1027),,,NEXT GENERETION.G.V. ,0.0,0.0
2 712.02 2024 (741),,,EVE -ENTE VASCO DE LA ENERGIA,0.0,0.0
2 720.01 2024 (769),,,DE LA DIPUTACION F. SUBV. VARIAS ,0.0,80000.0
2 720.04 2024 (737),,,DIPUTAC. AYUDAS PARA CAMINOS ,25000.0,18865.0
2 720.05 2024 (1059),,,DIPUTACION SIBV.OBRAS PISO DE ,15870.0,0.0
2 833.01 2024 (57),,,ANTICIPOS DEL PERSONAL,14000.0,19157.27
2 860.01 2024 (58),,,DEVOLUCION DE FIANZAS A CORTO ,100.0,0.0
2 860.02 2024 (118),,,DEVOLUCION DE FIANZAS A LARGO ,100.0,0.0
2 870.01 2024 (638),,,REMANENTE TESORERIA GASTOS ,9023013.44,0.0
2 870.02 2024 (72),,,REMANENTE TESORERIA GASTOS FIN. ,0.0,0.0
2 933.01 2024 (59),,,DE FUERA DEL SECTOR PUBLICO ,11629670.58,3000000.0
